42, 10, 0.1, 7122.718125000001
48, 10, 0.1678, 7122.718125000001
ff, 10, 0.8233, 21912391.70164591
44, 10, 0.1009, 7122.718125000001
b2, 10, 0.1006, 2298.025940625
b4, 10, 0.1006, 2298.025940625
tt, 10, 0.6874, 3899.4428632173713
bf, 10, 0.7777, 1369.0531406250002
t2, 10, 0.1, 3899.4428632173713
tf, 10, 0.8236, 2041.4972632173706
t8, 10, 0.2374, 3899.4428632173713
bb, 10, 0.3847, 2298.025940625
t4, 10, 0.2813, 3899.4428632173713
b8, 10, 0.1053, 2298.025940625
42, 5, 0.1, 3939.832125000001
ff, 5, 0.8123, 7466400.9588111695
44, 5, 0.5563, 3939.832125000001
b2, 5, 0.1944, 1509.187190625
b4, 5, 0.5033, 1509.187190625
bf, 5, 0.7708, 1031.7983906250001
t2, 5, 0.2344, 2316.0635064245243
tf, 5, 0.8288, 1361.2859064245238
t8, 5, 0.568, 2316.0635064245243
bb, 5, 0.5075, 1509.187190625
t4, 5, 0.6448, 2316.0635064245243
b8, 5, 0.2824, 1509.187190625
42, 3, 0.1065, 2666.6777250000005
48, 3, 0.4605, 2666.6777250000005
ff, 3, 0.8114, 1688004.6616772728
44, 3, 0.6733, 2666.6777250000005
b2, 3, 0.2065, 1193.6516906250001
b4, 3, 0.6206, 1193.6516906250001
tt, 3, 0.775, 1682.7117637073852
bf, 3, 0.7777, 896.8964906250001
t2, 3, 0.3379, 1682.7117637073852
tf, 3, 0.8232, 1089.201363707385
t8, 3, 0.6343, 1682.7117637073852
bb, 3, 0.5124, 1193.6516906250001
t4, 3, 0.771, 1682.7117637073852
b8, 3, 0.3967, 1193.6516906250001
